Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((0.40817791223526, 0.32557401061058044)) 	 Right eye: ((0.4998287558555603, 0.3548583686351776))
Left eye: ((0.408814936876297, 0.3222450017929077)) 	 Right eye: ((0.5034195780754089, 0.3519940972328186))
Left eye: ((0.41059640049934387, 0.32253798842430115)) 	 Right eye: ((0.503275990486145, 0.345272958278656))
Left eye: ((0.411171019077301, 0.32707130908966064)) 	 Right eye: ((0.5044716000556946, 0.34948447346687317))
Left eye: ((0.41458505392074585, 0.3273833394050598)) 	 Right eye: ((0.5052586793899536, 0.35227760672569275))
Left eye: ((0.4136146903038025, 0.32534393668174744)) 	 Right eye: ((0.5083771347999573, 0.3468499481678009))
Left eye: ((0.41418999433517456, 0.33271482586860657)) 	 Right eye: ((0.5006301999092102, 0.3484227657318115))
Left eye: ((0.4201185405254364, 0.33009472489356995)) 	 Right eye: ((0.5013206601142883, 0.3601011037826538))
Left eye: ((0.4313952624797821, 0.3317483365535736)) 	 Right eye: ((0.512751579284668, 0.35630565881729126))
Left eye: ((0.4309222102165222, 0.32607948780059814)) 	 Right eye: ((0.5129897594451904, 0.3472452759742737))
Left eye: ((0.4277629256248474, 0.33544623851776123)) 	 Right eye: ((0.5119715332984924, 0.34479886293411255))
Left eye: ((0.428750216960907, 0.3335331678390503)) 	 Right eye: ((0.515232503414154, 0.34838423132896423))
Left eye: ((0.42926090955734253, 0.3299999535083771)) 	 Right eye: ((0.5157509446144104, 0.35525375604629517))
Left eye: ((0.43079105019569397, 0.34327584505081177)) 	 Right eye: ((0.5135326981544495, 0.3552054762840271))
Left eye: ((0.42628777027130127, 0.3416126072406769)) 	 Right eye: ((0.5105738639831543, 0.3489948809146881))
Left eye: ((0.42569971084594727, 0.3341332674026489)) 	 Right eye: ((0.5104559063911438, 0.35459738969802856))
Left eye: ((0.4263168275356293, 0.333739697933197)) 	 Right eye: ((0.50795578956604, 0.3523100018501282))
Left eye: ((0.422534316778183, 0.335216224193573)) 	 Right eye: ((0.510719895362854, 0.35710254311561584))
Left eye: ((0.4249739348888397, 0.33390045166015625)) 	 Right eye: ((0.5098952054977417, 0.3545385003089905))
Left eye: ((0.42492854595184326, 0.33011525869369507)) 	 Right eye: ((0.5133835077285767, 0.3540092408657074))
Left eye: ((0.4262726902961731, 0.32959485054016113)) 	 Right eye: ((0.5109845995903015, 0.3518400192260742))
Left eye: ((0.445064514875412, 0.333424836397171)) 	 Right eye: ((0.5327664613723755, 0.3705090582370758))
Left eye: ((0.4719077944755554, 0.33986032009124756)) 	 Right eye: ((0.5627293586730957, 0.38909146189689636))
Left eye: ((0.4909096956253052, 0.34539595246315)) 	 Right eye: ((0.5818358063697815, 0.3825238049030304))
Left eye: ((0.4872751832008362, 0.33708298206329346)) 	 Right eye: ((0.5779187679290771, 0.3860189616680145))
Left eye: ((0.48922431468963623, 0.3383268117904663)) 	 Right eye: ((0.578147292137146, 0.38088104128837585))
Left eye: ((0.49000388383865356, 0.3348824381828308)) 	 Right eye: ((0.5756131410598755, 0.3864549696445465))
Left eye: ((0.4910873770713806, 0.336064875125885)) 	 Right eye: ((0.5745388269424438, 0.3820062279701233))
Left eye: ((0.49197566509246826, 0.33061036467552185)) 	 Right eye: ((0.5719574689865112, 0.37967339158058167))
Left eye: ((0.49308520555496216, 0.32672184705734253)) 	 Right eye: ((0.5767790675163269, 0.38338637351989746))
Left eye: ((0.4899426996707916, 0.330949991941452)) 	 Right eye: ((0.5771443843841553, 0.38013604283332825))
